iter	MultiClass
0	1.028791399
1	0.9713406932
2	0.9275961254
3	0.8928288958
4	0.8634119503
5	0.837152817
6	0.8135939585
7	0.7926880666
8	0.773014037
9	0.7567719799
10	0.7419272569
11	0.7298930466
12	0.7184196673
13	0.7080836277
14	0.6996744265
15	0.6916031628
16	0.683803839
17	0.6767236775
18	0.6702134938
19	0.6635083446
20	0.6587761754
21	0.6539610634
22	0.6484536868
23	0.6439372654
24	0.6397588458
25	0.6348928527
26	0.6321230338
27	0.6281510498
28	0.6256928475
29	0.6228819772
30	0.6201312066
31	0.616845736
32	0.6143382393
33	0.6123242816
34	0.6098135237
35	0.6066533109
36	0.6038981703
37	0.60168088
38	0.5994980903
39	0.5975424711
40	0.595818273
41	0.5942671914
42	0.5928724598
43	0.5900747668
44	0.5886472623
45	0.586783863
46	0.5854106771
47	0.5840936548
48	0.5822918895
49	0.5805537587
50	0.5788094263
51	0.5776271438
52	0.5765082742
53	0.5747891346
54	0.5737320724
55	0.5728738652
56	0.5714376458
57	0.5698994339
58	0.5688147319
59	0.5673328544
60	0.5654466917
61	0.5647153823
62	0.5637114284
63	0.5629371667
64	0.5619575941
65	0.5609072321
66	0.5593036552
67	0.5584869683
68	0.5581215119
69	0.5568655905
70	0.5556727297
71	0.554600846
72	0.5533981473
73	0.5526887937
74	0.5514471434
75	0.5502569016
76	0.54921212
77	0.5479864222
78	0.546820868
79	0.5460905567
80	0.5451634665
81	0.5443832523
82	0.5437817392
83	0.5427734646
84	0.5421003166
85	0.5411450463
86	0.5399726372
87	0.5389497137
88	0.5384228402
89	0.5377488535
90	0.5372280787
91	0.536539039
92	0.535816798
93	0.5347460643
94	0.5336616416
95	0.5332611542
96	0.5327933142
97	0.5323329302
98	0.531608398
99	0.5307871152
100	0.5303108935
101	0.529857131
102	0.5294095191
103	0.5285709386
104	0.5281091143
105	0.5267464539
106	0.5258225167
107	0.5249317073
108	0.5240365419
109	0.5233816249
110	0.5224531194
111	0.5218290439
112	0.521151313
113	0.5204274101
114	0.5200572383
115	0.5189900309
116	0.5178200306
117	0.5168063685
118	0.5159615925
119	0.5151671869
120	0.5145941037
121	0.5140904287
122	0.5130453953
123	0.5125138241
124	0.5119627782
125	0.5112305452
126	0.5106280259
127	0.5101436725
128	0.5092452377
129	0.5087737293
130	0.5081753553
131	0.5072792053
132	0.5064721969
133	0.505855709
134	0.5052598457
135	0.5046149575
136	0.5038332358
137	0.5033754347
138	0.5029374484
139	0.5022738819
140	0.5015421621
141	0.5012110606
142	0.5007962845
143	0.5002902886
144	0.4998523311
145	0.4993439167
146	0.4988378878
147	0.497749953
148	0.4969921944
149	0.4963774844
150	0.495514026
151	0.4952223271
152	0.4945852558
153	0.4940439858
154	0.4933723404
155	0.492818517
156	0.4924165662
157	0.4921592514
158	0.4917453439
159	0.4912966464
160	0.490503117
161	0.4900577534
162	0.489696727
