iter	Passed	Remaining
0	193	192815
1	218	108946
2	244	81227
3	270	67351
4	286	56950
5	310	51401
6	335	47602
7	361	44873
8	387	42616
9	409	40583
10	432	38893
11	460	37889
12	487	37033
13	511	36034
14	538	35360
15	567	34870
16	606	35093
17	632	34503
18	663	34282
19	696	34113
20	727	33936
21	758	33712
22	791	33633
23	820	33361
24	855	33355
25	887	33252
26	919	33134
27	939	32605
28	964	32281
29	993	32119
30	1020	31901
31	1045	31619
32	1069	31340
33	1093	31057
34	1117	30816
35	1141	30570
36	1166	30361
37	1191	30164
38	1207	29755
39	1232	29576
40	1258	29433
41	1285	29326
42	1312	29208
43	1327	28848
44	1352	28693
45	1370	28420
46	1398	28350
47	1423	28231
48	1449	28128
49	1473	28005
50	1493	27794
51	1517	27661
52	1541	27549
53	1563	27388
54	1588	27301
55	1613	27195
56	1635	27060
57	1661	26984
58	1680	26794
59	1703	26688
60	1722	26514
61	1743	26377
62	1767	26281
63	1793	26228
64	1819	26179
65	1843	26089
66	1875	26112
67	1902	26070
68	1932	26078
69	1969	26165
70	2002	26203
71	2034	26218
72	2066	26240
73	2099	26266
74	2129	26263
75	2157	26228
76	2183	26172
77	2208	26110
78	2233	26032
79	2256	25945
80	2275	25820
81	2298	25737
82	2324	25682
83	2349	25624
84	2374	25560
85	2399	25497
86	2423	25436
87	2449	25390
88	2473	25320
89	2497	25250
90	2522	25199
91	2546	25134
92	2566	25028
93	2585	24921
94	2609	24861
95	2631	24779
96	2656	24733
97	2681	24676
98	2701	24585
99	2725	24529
100	2752	24498
101	2774	24423
102	2797	24363
103	2822	24314
104	2847	24272
105	2873	24232
106	2899	24202
107	2926	24173
108	2954	24152
109	2977	24091
110	3005	24068
111	3031	24033
112	3056	23995
113	3077	23914
114	3099	23850
115	3125	23815
116	3150	23779
117	3174	23730
118	3199	23686
119	3224	23648
120	3252	23624
121	3276	23581
122	3303	23553
123	3328	23516
124	3349	23447
125	3372	23392
126	3397	23354
127	3421	23309
128	3445	23260
129	3471	23232
130	3498	23207
131	3527	23193
132	3551	23149
133	3576	23113
134	3603	23090
135	3628	23050
136	3655	23025
137	3682	23004
138	3709	22976
139	3735	22943
140	3760	22911
141	3787	22882
142	3813	22851
143	3836	22807
144	3862	22775
145	3886	22730
146	3908	22680
147	3928	22616
148	3955	22589
149	3980	22556
150	4000	22492
151	4028	22472
152	4053	22439
153	4079	22409
154	4099	22349
155	4126	22327
156	4151	22290
157	4178	22268
158	4205	22246
159	4231	22216
160	4254	22168
161	4277	22128
162	4301	22087
163	4322	22033
164	4347	22002
165	4368	21946
166	4384	21867
167	4405	21817
168	4425	21763
169	4450	21728
170	4475	21695
171	4500	21667
172	4526	21637
173	4552	21612
174	4579	21591
175	4602	21549
176	4628	21521
177	4654	21494
178	4678	21459
179	4697	21398
180	4723	21374
181	4742	21313
182	4768	21289
183	4795	21268
184	4825	21257
185	4854	21243
186	4882	21227
187	4905	21188
188	4931	21162
189	4957	21135
190	4981	21099
191	5005	21064
192	5031	21037
193	5057	21014
194	5085	20992
195	5108	20956
196	5134	20928
197	5163	20913
198	5185	20873
199	5215	20863
200	5238	20824
201	5263	20793
202	5289	20766
203	5314	20738
204	5332	20679
205	5361	20664
206	5388	20641
207	5414	20617
208	5438	20583
209	5462	20549
210	5491	20534
211	5517	20507
212	5544	20485
213	5569	20455
214	5597	20438
215	5620	20400
216	5648	20380
217	5673	20352
218	5698	20323
219	5719	20277
220	5740	20233
221	5764	20201
222	5792	20183
223	5813	20139
224	5835	20101
225	5863	20080
226	5890	20059
227	5913	20023
228	5940	20000
229	5967	19979
230	5994	19954
231	6020	19929
232	6044	19896
233	6068	19866
234	6092	19834
235	6119	19809
236	6142	19775
237	6168	19749
238	6193	19721
239	6216	19685
240	6243	19664
241	6271	19642
242	6297	19619
243	6322	19589
244	6345	19554
245	6369	19524
246	6393	19490
247	6419	19466
248	6440	19426
249	6466	19400
250	6489	19364
251	6514	19338
252	6542	19318
253	6568	19290
254	6594	19264
255	6614	19223
256	6641	19199
257	6667	19176
258	6694	19152
259	6719	19125
260	6737	19077
261	6764	19053
262	6791	19031
263	6815	18999
264	6839	18971
265	6869	18956
266	6895	18930
267	6917	18893
268	6940	18860
269	6971	18847
270	6998	18825
271	7020	18790
272	7039	18746
273	7066	18723
274	7092	18697
275	7118	18672
276	7142	18643
277	7163	18605
278	7187	18574
279	7214	18551
280	7238	18521
281	7262	18491
282	7286	18460
283	7308	18426
284	7328	18385
285	7355	18363
286	7380	18334
287	7383	18252
288	7408	18226
289	7429	18190
290	7455	18164
291	7476	18128
292	7502	18103
293	7526	18073
294	7552	18050
295	7578	18024
296	7599	17988
297	7626	17965
298	7646	17926
299	7672	17902
300	7692	17863
301	7724	17853
302	7755	17839
303	7785	17823
304	7814	17807
305	7837	17774
306	7860	17744
307	7886	17718
308	7906	17679
309	7933	17658
310	7961	17638
311	7986	17612
312	8010	17582
313	8038	17561
314	8065	17540
315	8085	17501
316	8090	17431
317	8113	17399
318	8138	17374
319	8162	17345
320	8182	17307
321	8206	17278
322	8232	17256
323	8252	17218
324	8280	17197
325	8300	17160
326	8320	17125
327	8346	17100
328	8370	17071
329	8395	17044
330	8418	17014
331	8442	16986
332	8466	16959
333	8491	16931
334	8514	16901
335	8537	16871
336	8556	16832
337	8560	16766
338	8579	16728
339	8603	16700
340	8629	16676
341	8653	16649
342	8680	16626
343	8705	16601
344	8731	16576
345	8759	16557
346	8791	16544
347	8811	16508
348	8838	16485
349	8859	16453
350	8885	16428
351	8902	16389
352	8930	16368
353	8956	16344
354	8978	16313
355	9004	16288
356	9029	16263
357	9055	16240
358	9082	16216
359	9108	16192
360	9119	16142
361	9137	16104
362	9159	16074
363	9181	16042
364	9207	16019
365	9231	15991
366	9256	15965
367	9283	15943
368	9312	15924
369	9342	15906
370	9374	15892
371	9406	15879
372	9439	15866
373	9458	15831
374	9489	15816
375	9524	15806
376	9551	15784
377	9584	15771
378	9608	15743
379	9641	15730
380	9670	15710
381	9695	15684
382	9721	15661
383	9757	15651
384	9781	15624
385	9799	15588
386	9818	15552
387	9845	15529
388	9864	15494
389	9889	15468
390	9915	15444
391	9939	15415
392	9966	15393
393	9989	15364
394	10017	15343
395	10041	15315
396	10070	15296
397	10089	15261
398	10108	15225
399	10129	15193
400	10155	15169
401	10180	15144
402	10205	15118
403	10230	15092
404	10257	15069
405	10283	15045
406	10308	15019
407	10332	14992
408	10357	14966
409	10386	14946
410	10412	14921
411	10434	14892
412	10459	14866
413	10488	14845
414	10510	14816
415	10535	14790
416	10563	14768
417	10584	14737
418	10607	14708
419	10631	14681
420	10657	14657
421	10676	14623
422	10704	14601
423	10729	14576
424	10752	14547
425	10780	14525
426	10802	14495
427	10827	14469
428	10849	14440
429	10879	14421
430	10906	14398
431	10930	14372
432	10959	14351
433	10987	14328
434	11014	14305
435	11041	14282
436	11067	14258
437	11091	14231
438	11115	14204
439	11137	14175
440	11161	14147
441	11187	14123
442	11210	14095
443	11236	14071
444	11262	14046
445	11289	14023
446	11307	13988
447	11334	13965
448	11355	13935
449	11380	13909
450	11402	13880
451	11428	13855
452	11455	13832
453	11479	13806
454	11501	13776
455	11528	13753
456	11554	13729
457	11578	13702
458	11603	13676
459	11625	13647
460	11654	13626
461	11681	13603
462	11708	13580
463	11730	13551
464	11751	13520
465	11777	13496
466	11803	13471
467	11827	13444
468	11849	13416
469	11874	13390
470	11901	13367
471	11928	13343
472	11952	13317
473	11969	13282
474	11990	13252
475	12014	13225
476	12034	13194
477	12061	13171
478	12085	13144
479	12107	13115
480	12132	13090
481	12155	13063
482	12179	13037
483	12204	13010
484	12229	12985
485	12256	12962
486	12281	12937
487	12308	12913
488	12335	12890
489	12363	12867
490	12385	12839
491	12412	12816
492	12432	12785
493	12458	12761
494	12480	12732
495	12506	12707
496	12531	12682
497	12555	12656
498	12581	12631
499	12606	12606
500	12631	12581
501	12656	12555
502	12681	12529
503	12704	12502
504	12730	12478
505	12754	12452
506	12781	12428
507	12808	12404
508	12835	12381
509	12862	12358
510	12879	12325
511	12904	12299
512	12929	12273
513	12956	12250
514	12982	12226
515	13008	12202
516	13025	12169
517	13053	12146
518	13081	12124
519	13107	12098
520	13130	12071
